epoch,train_loss,val_loss,train_precision,train_recall,val_precision,val_recall,val_mAP50,val_mAP50_95
21,3.507240,4.745570,0.8864789915675846,0.8080151920293956,0.6209928234995508,0.6374004481692334,0.6436228247348819,0.423801886153382
22,3.468690,4.741180,0.8971654426462448,0.8058338010166579,0.6644691469555695,0.6405162424096661,0.6554256136107259,0.43097993475845064
23,3.441230,4.933450,0.8790292199913015,0.8068187912023431,0.591022512510996,0.6439699617481848,0.6471129718245441,0.4137164812676814
24,3.374930,4.878370,0.8894366066753043,0.8088960509257349,0.5716105891955706,0.6204922033677931,0.6488444561200899,0.4262516258057001
25,3.421570,4.857020,0.8771729705583093,0.814378840947105,0.6583816979491272,0.620099904075614,0.6380699896913735,0.41989164607917284
26,3.367570,4.897030,0.8820949525982373,0.8135124566459246,0.7457145840068555,0.592785570608101,0.626382888642435,0.4145545895977443
27,3.366220,4.769940,0.8934371231229096,0.8134860548227882,0.7400259846504776,0.5992136912120584,0.6424918038618759,0.41808281310839374
28,3.311290,4.812750,0.8897592658649289,0.8193902530812054,0.6336219431458197,0.643652343691268,0.6500304816042332,0.4217649936562119
29,3.340030,4.732300,0.8965751283193005,0.8165887508157004,0.6911278548469049,0.6362350696835983,0.6576255327410508,0.427862359502845
30,3.275810,4.781460,0.8921362945353791,0.8226334106061339,0.727766694534466,0.6152383939792585,0.6436217261048056,0.4194905759161582
31,3.265550,4.772050,0.8992982238461548,0.8146560186299233,0.7289097891178707,0.624020789112831,0.6314782973799764,0.4257070551333335
32,3.252290,4.625150,0.8913588599993654,0.8203888893693201,0.6465871880417188,0.6236036790805255,0.6496996206373458,0.43490289364105006
33,3.242980,4.759530,0.8937336458756968,0.8190871061044243,0.6995492346995332,0.595388575519965,0.6436308782772643,0.43233168220311274
34,3.213750,4.715950,0.8985657873146494,0.8184717633011698,0.7666386223570115,0.6165462972964321,0.6574896520025271,0.4313930712035766
35,3.195030,4.727270,0.8937845597638959,0.8248721410598298,0.6924223649427744,0.6632444600711439,0.6624997582149149,0.43879265028754183
36,3.214610,4.929180,0.8867208098821021,0.8249428502770548,0.6946703926880039,0.5660232768440582,0.6372736608353378,0.40993094425566157
37,3.168110,4.766440,0.8906487511168842,0.8302188302057115,0.7713427072583354,0.6130000866501326,0.6565681800155011,0.44175612159931366
38,3.187630,4.738110,0.8884634795294418,0.8277878096628815,0.8014991426405442,0.6264568039047324,0.6560243340870434,0.4309225787294748
39,3.135900,4.720820,0.8932048081732451,0.8307711042961144,0.7185051822110435,0.6182626921897145,0.6362210401522337,0.4283933615509098
40,3.131250,4.902820,0.8990335347757551,0.8339964191957845,0.7817827380671851,0.5539261306397663,0.6450167389468388,0.4076399750063812
41,3.146560,4.682320,0.8929649536413996,0.8327897707507841,0.6405330618860673,0.636339342733722,0.6544365857972216,0.43615317012465427
42,3.109620,4.712640,0.8947001622167691,0.8339112667803452,0.7044646949674446,0.631429891849498,0.6575365471323367,0.43992699969237814
43,3.130750,4.811620,0.899686392396499,0.8291348090795038,0.7991242448194906,0.6026403553532214,0.6479851407984594,0.42931032374205585
44,3.092780,4.657970,0.9050836686745359,0.8264123930340407,0.6620739602155681,0.6322074189631532,0.6529889579284678,0.435057561936124
45,3.120750,4.627780,0.897893267637939,0.8321481331659295,0.7449131204587969,0.6233355777812145,0.6545720417777472,0.4371094299991802
46,3.032390,4.691890,0.8996815852997625,0.8403915789477213,0.7758737172882938,0.6334756974760072,0.66217591378096,0.439007420368949
47,3.095140,4.707460,0.8993463011895076,0.8398461737901675,0.7524835215205734,0.6162199378691295,0.6531212116004791,0.43180214623914687
48,3.065780,4.667020,0.9003252784039534,0.8410224614989367,0.7382421138097623,0.6261725867375918,0.644526382819155,0.4332943035309212
49,3.061720,4.694370,0.9019769770991154,0.8428567993827649,0.675690573740757,0.6333478365003891,0.6499667232127065,0.43771205193750706
50,3.056560,4.694600,0.9046302477090019,0.8410830036211498,0.652174236219933,0.6542744414858644,0.6630580881176791,0.43898019194926347
51,2.917430,4.698560,0.8993012858165195,0.8435136275828798,0.8656885512001604,0.6180856348779672,0.6655941151285218,0.43661588539423474
52,2.856360,4.781120,0.894475373525765,0.8414772063261141,0.7749511171054266,0.6409926158953686,0.6655968788933093,0.43086228567771323
53,2.830410,4.711090,0.9012443947190272,0.840906548603822,0.7979194507912256,0.6232209876880457,0.6658209750632132,0.44182559218537554
54,2.809310,4.755800,0.9022727784785799,0.83982943989134,0.763415416602643,0.6368360119776182,0.6517583562072592,0.4327480682745849
55,2.794500,4.662130,0.903369401937669,0.8431627354018697,0.7779387344583867,0.6405825185680306,0.657484751789711,0.43814584258703615
56,2.773380,4.703650,0.9031411583015315,0.8432901315522111,0.7907831689613045,0.634516438477895,0.6588372009821233,0.4375502521495622
57,2.777810,4.714240,0.9036546922736691,0.8454873625133746,0.8124538374246583,0.6275097519978899,0.6613114972339693,0.43548675863615555
58,2.757090,4.736750,0.8472553909735625,0.844444337224326,0.7903712284266314,0.6345177319413774,0.660364923349606,0.43345009914383714
59,2.751060,4.703470,0.8465988062955663,0.8448318314742417,0.8165083542633467,0.6249192615387923,0.6665535656102052,0.4376391715261219
60,2.744980,4.714900,0.8462534488878456,0.8479554109888552,0.8119422255840004,0.6298565478514927,0.6666888934536475,0.43919059268536303
