epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1372.44,0.65273,1.13168,0.58752,0.93936,0,0.64161,0.66319,0.67469,0.48197,0.6333,0.64428,0.65015,0.42303,0.94097,1.85943,1.07266,0.93969,0,0.0002218,0.0002218,0.0002218
29,1421.43,0.66969,1.13858,0.58783,0.94393,0,0.69678,0.63945,0.66779,0.48046,0.69447,0.63817,0.66119,0.43227,0.93411,1.78101,1.06962,0.94756,0,0.0002152,0.0002152,0.0002152
30,1470.24,0.65635,1.10584,0.57505,0.93857,0,0.73683,0.62549,0.65698,0.46871,0.7292,0.61682,0.64446,0.42205,0.95728,1.79741,1.07077,0.956,0,0.0002086,0.0002086,0.0002086
31,1518.54,0.65312,1.0991,0.57559,0.93774,0,0.73445,0.62588,0.63944,0.46897,0.73635,0.62506,0.63352,0.4294,0.93688,1.80611,1.08559,0.94347,0,0.000202,0.000202,0.000202
32,1567.09,0.64953,1.09902,0.56486,0.93888,0,0.65495,0.63317,0.66118,0.4835,0.64751,0.62502,0.65136,0.43703,0.91773,1.72953,1.04794,0.92995,0,0.0001954,0.0001954,0.0001954
33,1616.2,0.64717,1.10538,0.55975,0.93068,0,0.68409,0.58664,0.64392,0.46599,0.70009,0.59574,0.64348,0.43279,0.9335,1.76911,1.11915,0.93777,0,0.0001888,0.0001888,0.0001888
34,1664.97,0.64088,1.09446,0.54744,0.93097,0,0.75612,0.62897,0.66253,0.48662,0.76524,0.6156,0.65746,0.43262,0.90949,1.83908,1.03545,0.93193,0,0.0001822,0.0001822,0.0001822
35,1713.6,0.64131,1.07656,0.54839,0.92877,0,0.73203,0.63715,0.66795,0.48351,0.69204,0.66323,0.66256,0.43959,0.92823,1.84177,1.02456,0.93271,0,0.0001756,0.0001756,0.0001756
36,1762.44,0.63784,1.09942,0.55022,0.92713,0,0.69258,0.56188,0.65529,0.46607,0.6917,0.56541,0.64013,0.41132,0.96564,1.89316,1.11325,0.95713,0,0.000169,0.000169,0.000169
37,1810.55,0.6308,1.07138,0.53899,0.92694,0,0.75428,0.61055,0.65236,0.46404,0.77235,0.61442,0.6577,0.44258,0.96602,1.76332,1.08719,0.94991,0,0.0001624,0.0001624,0.0001624
38,1859.55,0.63475,1.08241,0.54159,0.92888,0,0.79699,0.62334,0.65961,0.47421,0.80598,0.62769,0.6578,0.43359,0.95225,1.81574,1.01332,0.9568,0,0.0001558,0.0001558,0.0001558
39,1908.29,0.62468,1.05649,0.5277,0.92703,0,0.71797,0.61981,0.64251,0.47221,0.71802,0.61788,0.63726,0.42812,0.92976,1.79338,1.05478,0.9429,0,0.0001492,0.0001492,0.0001492
40,1957.42,0.62296,1.06183,0.52745,0.91901,0,0.79757,0.56299,0.65367,0.47593,0.7793,0.55542,0.64561,0.40922,0.94169,1.93836,1.07867,0.9441,0,0.0001426,0.0001426,0.0001426
41,2006.36,0.6234,1.07322,0.52522,0.92472,0,0.64006,0.62306,0.66384,0.48714,0.64017,0.63656,0.65449,0.43682,0.91536,1.82338,1.01337,0.93021,0,0.000136,0.000136,0.000136
42,2055.17,0.61934,1.04761,0.52279,0.91988,0,0.71226,0.63922,0.66976,0.48823,0.69472,0.63273,0.65744,0.44255,0.92275,1.82125,1.02747,0.94117,0,0.0001294,0.0001294,0.0001294
43,2103.61,0.6199,1.06902,0.51956,0.92227,0,0.81134,0.61093,0.6545,0.47639,0.71975,0.63601,0.65845,0.43174,0.9326,1.89077,1.04926,0.93899,0,0.0001228,0.0001228,0.0001228
44,2152.56,0.61219,1.04693,0.51445,0.91921,0,0.66646,0.63818,0.66308,0.48022,0.66296,0.63377,0.65448,0.43717,0.92241,1.78104,1.02508,0.92944,0,0.0001162,0.0001162,0.0001162
45,2201.56,0.62159,1.06482,0.51602,0.91832,0,0.75368,0.63081,0.66126,0.47959,0.74586,0.62342,0.65462,0.43824,0.9188,1.75582,1.02648,0.92668,0,0.0001096,0.0001096,0.0001096
46,2250.04,0.59592,1.02222,0.49997,0.91428,0,0.80161,0.62055,0.66955,0.4881,0.79038,0.64638,0.66819,0.44161,0.9139,1.84121,1.01255,0.92423,0,0.000103,0.000103,0.000103
47,2298.43,0.61005,1.05751,0.5097,0.91788,0,0.75566,0.62078,0.65591,0.48061,0.75156,0.61795,0.64965,0.43285,0.91382,1.84419,1.0219,0.92755,0,9.64e-05,9.64e-05,9.64e-05
48,2347.34,0.60739,1.04107,0.50317,0.91415,0,0.74561,0.63285,0.65662,0.48477,0.73949,0.62704,0.64566,0.43398,0.88742,1.83844,1.0181,0.92306,0,8.98e-05,8.98e-05,8.98e-05
49,2396.53,0.61452,1.03171,0.50229,0.9132,0,0.68921,0.6329,0.65992,0.48086,0.67659,0.63503,0.65088,0.43877,0.91429,1.80985,1.037,0.93323,0,8.32e-05,8.32e-05,8.32e-05
50,2445.45,0.60528,1.03954,0.4999,0.91184,0,0.65134,0.64686,0.67197,0.49055,0.65184,0.65121,0.66267,0.44133,0.9084,1.83653,1.0192,0.93047,0,7.66e-05,7.66e-05,7.66e-05
51,2486.41,0.56858,0.94333,0.51643,0.88909,0,0.87217,0.62215,0.67549,0.48814,0.86601,0.61714,0.66585,0.43814,0.92263,1.82564,0.9942,0.95609,0,7e-05,7e-05,7e-05
52,2526.65,0.55879,0.9255,0.48886,0.88321,0,0.79064,0.62041,0.6691,0.47921,0.77064,0.64334,0.66712,0.4329,0.94573,1.86284,1.00104,0.97151,0,6.34e-05,6.34e-05,6.34e-05
53,2567.12,0.5517,0.92028,0.47586,0.88257,0,0.81295,0.60682,0.67125,0.4894,0.79727,0.62309,0.66593,0.44338,0.92807,1.82054,1.00844,0.95404,0,5.68e-05,5.68e-05,5.68e-05
54,2607.29,0.55082,0.90595,0.4717,0.88084,0,0.76756,0.64141,0.66324,0.48,0.76546,0.63938,0.65534,0.43466,0.92011,1.88203,1.00641,0.94725,0,5.02e-05,5.02e-05,5.02e-05
55,2647.48,0.54545,0.90591,0.46488,0.87826,0,0.76305,0.63279,0.66166,0.48361,0.77854,0.6402,0.65669,0.43861,0.91836,1.8185,0.98039,0.94488,0,4.36e-05,4.36e-05,4.36e-05
56,2687.81,0.53754,0.90092,0.45886,0.87606,0,0.80662,0.63989,0.66947,0.48235,0.79829,0.63418,0.65931,0.43806,0.92153,1.85081,0.98651,0.9448,0,3.7e-05,3.7e-05,3.7e-05
57,2727.97,0.53782,0.90227,0.46045,0.87727,0,0.82462,0.63295,0.67193,0.48634,0.8176,0.62763,0.66094,0.43726,0.92268,1.86201,0.98278,0.94677,0,3.04e-05,3.04e-05,3.04e-05
58,2768.06,0.53307,0.89624,0.45499,0.87279,0,0.77352,0.62728,0.66844,0.48421,0.79021,0.63499,0.66004,0.43515,0.91778,1.8848,0.98568,0.94849,0,2.38e-05,2.38e-05,2.38e-05
59,2808.2,0.53048,0.89399,0.45268,0.87391,0,0.80154,0.63581,0.67484,0.48791,0.81672,0.62521,0.66676,0.43869,0.91571,1.85946,0.98035,0.94795,0,1.72e-05,1.72e-05,1.72e-05
60,2848.46,0.52871,0.8922,0.44911,0.87496,0,0.81232,0.63388,0.67101,0.48591,0.81194,0.6295,0.66627,0.43985,0.91904,1.86317,0.98286,0.94983,0,1.06e-05,1.06e-05,1.06e-05
